level,feature_id,lgd_code,name,stations,cities,pct_area_within_50km,area_km2
district,236,236,Lower Subansiri,0,0,38.9,1782
district,237,237,Papum Pare,0,0,82.6,3127
district,705,705,Biswanath,0,0,53.1,2453
district,288,288,Golaghat,0,0,26.6,3293
district,709,709,Hojai,0,0,47.5,1455
district,292,292,Karbi Anglong,0,0,16.7,7332
district,244,244,Dimapur,0,0,100.0,89
district,613,613,Peren,0,0,40.9,1722
district,299,299,Dima Hasao,0,0,19.4,4884
district,258,258,Tamenglong,0,0,18.9,2976
district,714,714,Noney,0,0,4.1,1210
district,254,254,Churachandpur,0,0,0.0,2405
district,727,727,Saitual,0,0,50.6,1380
district,715,715,Pherzawl,0,0,10.1,2287
district,713,713,Jiribam,0,0,100.0,181
district,293,293,Karimganj,0,0,46.2,1810
district,289,289,Hailakandi,0,0,62.7,1328
district,263,263,Kolasib,0,0,49.1,1598
district,270,270,North Tripura,0,0,13.1,1329
district,269,269,Dhalai,0,0,0.8,2301
district,655,655,Unakoti,0,0,0.0,707
district,657,657,East Jaintia Hills,0,0,31.0,1927
district,275,275,West Jaintia Hills,0,0,72.0,1883
district,740,740,Eastern West Khasi Hills,0,0,93.9,1366
district,658,658,South West Khasi Hills,0,0,12.3,1259
district,279,279,West Khasi Hills,0,0,6.9,2574
district,277,277,South Garo Hills,0,0,0.0,1860
district,273,273,East Garo Hills,0,0,0.0,1606
district,278,278,West Garo Hills,0,0,0.0,2640
district,652,652,Khowai,0,0,84.2,1026
district,654,654,Gomati,0,0,56.7,1584
district,271,271,South Tripura,0,0,0.0,1501
district,653,653,Sepahijala,0,0,88.7,1060
district,264,264,Lawngtlai,0,0,0.0,2451
district,266,266,Mamit,0,0,85.3,3028
district,265,265,Lunglei,0,0,5.2,3591
district,726,726,Hnahthial,0,0,0.0,929
district,268,268,Serchhip,0,0,44.9,1445
district,728,728,Khawzawl,0,0,40.2,1224
district,262,262,Champhai,0,0,0.0,1324
district,267,267,Saiha,0,0,0.0,1521
district,253,253,Chandel,0,0,0.0,2071
district,716,716,Tengnoupal,0,0,0.0,1200
district,259,259,Thoubal,0,0,0.0,332
district,711,711,Kakching,0,0,0.0,286
district,252,252,Bishnupur,0,0,0.0,448
district,256,256,Imphal West,0,0,0.0,487
district,712,712,Kangpokpi,0,0,2.9,1674
district,255,255,Imphal East,0,0,0.0,461
district,257,257,Senapati,0,0,91.0,1818
district,260,260,Ukhrul,0,0,18.5,2330
district,248,248,Phek,0,0,57.4,1858
district,717,717,Kamjong,0,0,0.0,2181
district,360,360,Kendrapara,0,0,12.8,2531
district,348,348,Bhadrak,0,0,53.7,2503
district,355,355,Jagatsinghapur,0,0,50.5,1733
district,352,352,Dhenkanal,0,0,99.5,4459
district,367,367,Nayagarh,0,0,7.9,3896
district,351,351,Deogarh,0,0,32.7,2953
district,371,371,Sambalpur,0,0,29.5,6581
district,763,763,Sarangarh Bilaigarh,0,0,10.1,2200
district,347,347,Bargarh,0,0,19.8,5839
district,345,345,Balangir,0,0,0.0,6548
district,359,359,Kandhamal,0,0,0.0,8020
district,372,372,Sonepur,0,0,0.0,2363
district,349,349,Boudh,0,0,2.4,3101
district,353,353,Gajapati,0,0,0.0,4128
district,358,358,Kalahandi,0,0,0.0,7898
district,370,370,Rayagada,0,0,0.0,7344
district,743,743,Parvathipuram Manyam,0,0,0.0,3597
district,521,521,Vizianagaram,0,0,25.6,3946
district,519,519,Srikakulam,0,0,0.0,4436
district,354,354,Ganjam,0,0,0.0,8400
district,369,369,Puri,0,0,55.6,3473
district,603,603,Nicobars,0,0,0.0,1770
district,632,632,North And Middle Andaman,0,0,0.0,3428
district,602,602,South Andamans,0,0,0.0,2516
