State/UT,Decade,Type,Old Name,New Name,
Uttar Pradesh,2011-2021,Full Change,Panchsheel Nagar,Hapur,
Uttar Pradesh,2011-2021,Full Change,Bhimnagar,Sambhal,
Uttar Pradesh,2011-2021,Full Change,Prabuddhanagar,Shamli,
West Bengal,1951-1961,Nativization,Midnapur,Midnapore,
West Bengal,1971-1981,Nativization,Midnapore,Medinipur,
West Bengal,1971-1981,Nativization,Cooch Behar,Koch Bihar,
West Bengal,1971-1981,Nativization,Burdwan,Barddhaman,
West Bengal,1971-1981,Nativization,Hooghly,Hugli,
West Bengal,1971-1981,Nativization,Howrah,Haora,
West Bengal,1991-2001,Nativization,Calcutta,Kolkata,









































































































































































































































































































































































































































































































































































































































































































































































































